,Tahoe,Reno,Newreno,Vegas,
1M,0.05428863255252523,0.05289736144982825,0.057371171170194794,0.016425719639817052,
2M,0.053847703007294474,0.051450473906478514,0.056190207996187805,0.01646954449550014,
3M,0.05174205480374388,0.051804408685265785,0.056296962379585834,0.015654020893519624,
4M,0.05177793003907228,0.048721230193385236,0.05519963915575031,0.01659621764003509,
5M,0.04974610890879059,0.048610282005174026,0.054952653199220686,0.016691948575260736,
6M,0.047818243434170384,0.04569291227355216,0.05430282627909771,0.016826906258118373,
7M,0.04464012122191254,0.04330227224040401,0.050976737568736816,0.01702973415616949,
8M,0.04275236576043804,0.046264158871776505,0.04853841289859805,0.017368381910946917,
9M,0.038848263386661856,0.03963013477980759,0.04449960496061921,0.020460551267913886,
10M,0.029428392951963138,0.017210454232520978,0.019573964721461286,0.02518219413092536,
