,Tahoe,Reno,Newreno,Vegas,
1M,0.0018491124260355029,0.0018006448821205733,0.0018269907432469008,0.0,
2M,0.00220989491724169,0.002091728444430773,0.00205219718938211,0.0,
3M,0.002585367491522009,0.00251902030534611,0.0025468437329452427,0.0,
4M,0.002982459410591459,0.0028962970162309263,0.002829612916350724,0.0,
5M,0.003657891954752088,0.003561673768163444,0.0037262373423717393,0.0,
6M,0.004898718984985426,0.0043633780664146735,0.0049833887043189366,0.0,
7M,0.005724131888671475,0.005238701275638559,0.0058448922620605425,0.0,
8M,0.008224860534973538,0.0062209510189488735,0.006231084208652305,0.0,
9M,0.01102117345772168,0.009425800282318656,0.01008109682333438,0.0,
10M,0.013806236610330874,0.009876886694025179,0.009598121806380333,0.0,
