,Tahoe,Reno,Newreno,Vegas,
1M,14517.47265625,14246.3359375,14693.58203125,14687.94140625,
2M,13222.3515625,12925.515625,13368.77734375,13371.83203125,
3M,11835.7890625,11675.01953125,12015.28515625,12055.9140625,
4M,10655.41796875,10218.9296875,10741.28125,10739.99609375,
5M,9387.390625,9084.578125,9427.6328125,9424.26953125,
6M,8093.46484375,7818.54296875,8114.3828125,8108.16015625,
7M,6782.20703125,6695.546875,6810.6953125,6792.43359375,
8M,5524.9375,5537.2890625,5560.0,5476.8984375,
9M,4308.109375,4333.609375,4401.34375,4166.53125,
10M,3301.2578125,2835.68359375,2857.19921875,3391.71875,
