,Reno_TCP_Droptail,Reno_CBR_Droptail,Reno_TCP_RED,Reno_CBR_RED,
1s,28.40487161350096,45.06929261554399,26.93681531206972,45.06186531461033,
2s,27.404871613500948,44.06929261554403,25.93681531206973,44.061865314610344,
3s,26.40487161350098,43.069292615544036,24.936815312069772,43.061865314610365,
4s,25.404871613501008,42.069292615544065,23.936815312069815,42.061865314610415,
5s,24.40487161350103,41.069292615544065,22.936815312069854,41.06186531461046,
6s,23.404871613501058,40.06929261554412,21.93681531206989,40.06186531461049,
7s,22.404871613501072,39.069292615544114,20.936815312069907,39.061865314610536,
8s,21.41822670693711,38.069292615544114,19.944587465023105,38.061865314610536,
9s,20.455149452860898,37.06929261554419,18.975592703728175,37.06186531461058,
10s,19.51064537536852,36.06929261554419,18.056170591825868,36.061865314610586,
11s,18.609217433367405,35.0692926155442,17.21543079073676,35.06186531461059,
12s,17.77994704049094,34.06929261554424,16.483536480162886,34.06186531461059,
13s,17.05310889019915,33.069292615544235,15.887577939800266,33.061865314610586,
14s,16.457881849708222,32.069292615544235,15.406020025612001,32.061865314610564,
15s,16.006520409602327,31.06929261554425,15.03602886577715,31.061865314610575,
16s,15.672052048853885,30.069292615544285,14.803054226318114,30.061865314610564,
17s,15.410188466157296,29.08415779592261,14.646896179522589,29.076843034169233,
18s,15.175556308766044,28.132182170159545,14.510403883908916,28.12511479531935,
19s,14.964613686300487,27.2136128609324,14.399800090958172,27.206728936676758,
20s,14.771566747608466,26.328441951330603,14.304132571360302,26.321799349247804,
21s,14.607109031706887,25.476526420230602,14.233601081443483,25.470101862654683,
22s,14.471337159497049,24.657932094529404,14.189291916941078,24.651753550250803,
23s,14.364271532158144,23.87265092030584,14.171342090359778,23.86671480842534,
24s,14.285921876180781,23.120676403472192,14.179811379331108,23.114966416048194,
25s,14.236305795319195,22.40200677841157,14.214725967327038,22.39653962661323,
26s,14.215437524096041,21.716641342409496,14.276266108312015,21.711399633299965,
27s,14.223327055652495,21.06457750885594,14.363888967506552,21.05958574042133,
28s,14.25998019758134,20.445813599906437,14.477938567410778,20.44109494831166,
29s,14.325399922507634,19.860348754963212,14.618738268685357,19.85585720040126,
30s,14.419588875759557,19.308182207623314,14.785699109329297,19.303976323102706,
31s,14.542549362854263,18.78931329450931,14.979030513075346,18.785401509595506,
32s,14.694279634679049,18.303742517904144,15.198822407755495,18.30011427321971,
33s,14.874717590518049,17.851487852686986,15.445058581772624,17.848146467402263,
34s,15.083846623909523,17.43255396899211,15.717864244150716,17.42947576302247,
35s,15.321685006678287,17.046929503771572,16.01678234504236,17.044123771848938,
36s,15.588250408037995,16.69460969804829,16.34213803458816,16.692096336743635,
37s,15.883557374405813,16.375594082721562,16.69426451606742,16.373319625008435,
38s,16.2076140939774,16.089882236858475,17.07249861815588,16.087903085523312,
39s,16.560427086697416,15.83747243230598,17.477113791395052,15.835792650217398,
40s,16.942005179952968,15.618362116706667,17.908233108730894,15.616966121029817,
41s,17.35235184886587,15.432550290846578,18.36578737789475,15.431458310397923,
42s,17.791469816737838,15.280036163436082,18.849852017473417,15.27925612865268,
43s,18.259358678298486,15.160819856232639,19.360078981748366,15.160364753460428,
44s,18.75600582780823,15.074905021692336,19.896742631799224,15.074800130257485,
45s,19.28133864869735,15.022312647321577,20.46018004380326,15.02248838890008,
46s,19.83537408916417,15.0030360372632,21.04970058189198,15.00353303002344,
47s,20.418129317850788,15.01706547500468,21.665599910477955,15.01788686191914,
48s,21.029613302689302,15.064400034921732,22.308048636227543,15.065520468338384,
49s,21.669836366042947,15.145040441939503,22.976917587217883,15.146473648144488,
50s,22.338813796522572,15.258983415564312,23.672241820597062,15.260739784419973,
51s,23.036552799470662,15.406226900637385,24.39377093459386,15.40831092209969,
52s,23.763058450875526,15.586769429379173,25.141747842738177,15.58920764720834,
53s,24.518333455748895,15.800610220936411,25.916495669199808,15.803360880240781,
54s,25.30238041321232,16.047748523891766,26.717291882472562,16.05086778495489,
55s,26.115197273810345,16.328184932582026,27.544482599964038,16.3316859142762,
56s,26.95674750255706,16.64193001849792,28.39826456202494,16.645778593915097,
57s,27.82698832753747,16.98899613614107,29.278435114116437,16.993196179739293,
58s,28.725935322303105,17.369375300898284,30.18502433654474,17.373927692945564,
59s,29.653598505986402,17.783060961415735,31.11786557022316,17.78796015165502,
60s,30.609996247638527,18.230051448144494,32.07715512943562,18.235318453493875,
61s,31.595142190722587,18.710346018765488,33.06320065058938,18.715937276095023,
62s,32.595128386499,19.22421781913678,34.0631846879301,19.230048466733606,
63s,33.59512838649898,19.771544339850575,35.0631846879301,19.777594437980614,
64s,34.595128386498956,20.35232071087628,36.06318468793005,20.358574043463776,
65s,35.59512838649897,20.966546932213937,37.063184687930075,20.972987283182896,
66s,36.59512838649897,21.614223003863486,38.06318468793006,21.62083415713805,
67s,37.595128386499006,22.295348925824996,39.06318468793008,22.302114665329242,
68s,38.59512838649899,23.009924698098363,40.06318468793006,23.016828807756536,
69s,39.59512838649899,23.757950320683737,41.063184687930075,23.764976584419852,
70s,40.59512838649896,24.539425793580953,42.06318468793008,24.54655799531925,
71s,41.59512838649899,25.354351116790085,43.06318468793006,25.361573040454594,
72s,42.59512838649902,26.202726290311208,44.06318468793008,26.210021719826084,
73s,43.595128386499056,27.084551314144186,45.06318468793006,27.091904033433575,
74s,44.59512838649904,27.99982618828914,46.06318468793005,28.007219981277093,
75s,45.59512838649903,28.948550912745954,47.06318468793005,28.955969563356675,
76s,46.59512838649906,29.930725487514735,48.06318468793008,29.938152779672276,
77s,47.59512838649905,30.930707384455733,49.06318468793009,30.938134685389418,
78s,48.59512838649904,31.930707384455733,50.063184687930075,31.938134685389393,
79s,49.59512838649904,32.93070738445575,51.06318468793005,32.93813468538938,
80s,50.59512838649902,33.93070738445576,52.06318468793009,33.938134685389386,
