,Reno_TCP_Droptail,Reno_CBR_Droptail,Reno_TCP_RED,Reno_CBR_RED,
1s,0.0,0.0,0.0,0.0,
2s,0.0,0.0,0.0,0.0,
3s,0.0,0.0,0.0,0.0,
4s,0.0,0.0,0.0,0.0,
5s,0.0,0.0,0.0,0.0,
6s,0.0,0.0,0.0,0.0,
7s,1.58721923828125,0.0,0.94451904296875,0.0,
8s,1.2933349609375,0.0,2.4359130859375,0.0,
9s,1.8328857421875,0.0,4.2529296875,0.0,
10s,3.7530517578125,0.0,6.236572265625,0.0,
11s,5.7684326171875,0.0,8.172607421875,0.0,
12s,7.8076171875,0.0,9.251708984375,0.0,
13s,9.3865966796875,0.0,6.395263671875,0.0,
14s,9.1009521484375,0.0,8.4344482421875,0.0,
15s,7.0379638671875,0.0,8.9739990234375,0.0,
16s,1.93603515625,7.16400146484375,1.3885498046875,7.22503662109375,
17s,1.904296875,7.5836181640625,1.68212890625,7.5836181640625,
18s,0.9918212890625,7.65228271484375,1.3092041015625,7.6446533203125,
19s,1.80908203125,7.5225830078125,1.23779296875,7.59124755859375,
20s,1.856689453125,7.63702392578125,1.8328857421875,7.57598876953125,
21s,1.8646240234375,7.62939453125,1.697998046875,7.62939453125,
22s,1.8646240234375,7.6141357421875,1.68212890625,7.6141357421875,
23s,1.8646240234375,7.60650634765625,1.8011474609375,7.59124755859375,
24s,1.8963623046875,7.598876953125,1.8170166015625,7.56072998046875,
25s,1.9122314453125,7.57598876953125,1.666259765625,7.659912109375,
26s,1.920166015625,7.57598876953125,1.729736328125,7.59124755859375,
27s,1.9122314453125,7.5836181640625,1.7694091796875,7.598876953125,
28s,1.9122314453125,7.5836181640625,1.8487548828125,7.56072998046875,
29s,1.920166015625,7.57598876953125,1.6583251953125,7.62939453125,
30s,1.9122314453125,7.5836181640625,1.697998046875,7.62939453125,
31s,1.920166015625,7.57598876953125,1.8328857421875,7.568359375,
32s,1.8328857421875,7.659912109375,1.8011474609375,7.57598876953125,
33s,1.8408203125,7.6446533203125,1.6424560546875,7.65228271484375,
34s,1.8804931640625,7.59124755859375,1.7694091796875,7.5836181640625,
35s,1.8963623046875,7.59124755859375,1.7694091796875,7.598876953125,
36s,1.9122314453125,7.5836181640625,1.793212890625,7.6141357421875,
37s,1.888427734375,7.60650634765625,1.7218017578125,7.568359375,
38s,1.904296875,7.59124755859375,1.7059326171875,7.62176513671875,
39s,1.920166015625,7.57598876953125,1.824951171875,7.57598876953125,
40s,1.9122314453125,7.5836181640625,1.793212890625,7.5836181640625,
41s,1.920166015625,7.57598876953125,1.6424560546875,7.6446533203125,
42s,1.920166015625,7.568359375,1.7694091796875,7.59124755859375,
43s,1.8646240234375,7.63702392578125,1.77734375,7.59124755859375,
44s,1.856689453125,7.63702392578125,1.77734375,7.62176513671875,
45s,1.888427734375,7.59124755859375,1.697998046875,7.598876953125,
46s,1.8804931640625,7.598876953125,1.729736328125,7.598876953125,
47s,1.87255859375,7.6141357421875,1.8170166015625,7.5836181640625,
48s,1.8963623046875,7.59124755859375,1.77734375,7.598876953125,
49s,1.904296875,7.59124755859375,1.6583251953125,7.63702392578125,
50s,1.9122314453125,7.5836181640625,1.761474609375,7.59124755859375,
51s,1.920166015625,7.57598876953125,1.7852783203125,7.5836181640625,
52s,1.920166015625,7.57598876953125,1.7694091796875,7.62176513671875,
53s,1.920166015625,7.57598876953125,1.697998046875,7.5836181640625,
54s,1.9122314453125,7.5836181640625,1.729736328125,7.62176513671875,
55s,1.8646240234375,7.62939453125,1.8408203125,7.56072998046875,
56s,1.8646240234375,7.62939453125,1.7535400390625,7.6141357421875,
57s,1.856689453125,7.62176513671875,1.6583251953125,7.6141357421875,
58s,1.87255859375,7.598876953125,1.793212890625,7.59124755859375,
59s,1.8963623046875,7.598876953125,1.7852783203125,7.5836181640625,
60s,1.9122314453125,7.5836181640625,1.729736328125,7.62939453125,
61s,0.0634765625,7.65228271484375,0.0634765625,7.63702392578125,
62s,0.0,7.62939453125,0.0,7.62939453125,
63s,0.0,7.62939453125,0.0,7.62939453125,
64s,0.0,7.62939453125,0.0,7.62939453125,
65s,0.0,7.62939453125,0.0,7.62939453125,
66s,0.0,7.62939453125,0.0,7.62939453125,
67s,0.0,7.62939453125,0.0,7.62939453125,
68s,0.0,7.62939453125,0.0,7.62939453125,
69s,0.0,7.62939453125,0.0,7.62939453125,
70s,0.0,7.62939453125,0.0,7.62939453125,
71s,0.0,7.62939453125,0.0,7.62939453125,
72s,0.0,7.62939453125,0.0,7.62939453125,
73s,0.0,7.62939453125,0.0,7.62939453125,
74s,0.0,7.62939453125,0.0,7.62939453125,
75s,0.0,7.62939453125,0.0,7.62939453125,
76s,0.0,0.25177001953125,0.0,0.25177001953125,
77s,0.0,0.0,0.0,0.0,
78s,0.0,0.0,0.0,0.0,
79s,0.0,0.0,0.0,0.0,
80s,0.0,0.0,0.0,0.0,
