,Sack_TCP_Droptail,Sack_CBR_Droptail,Sack_TCP_RED,Sack_CBR_RED,
1s,24.474604552566657,45.05410114047258,26.592747826729358,45.06359686001159,
2s,23.474604552566632,44.05410114047262,25.59274782672935,44.06359686001157,
3s,22.4746045525666,43.05410114047262,24.592747826729365,43.06359686001162,
4s,21.4746045525666,42.05410114047264,23.59274782672935,42.06359686001162,
5s,20.474604552566603,41.05410114047266,22.59274782672934,41.063596860011636,
6s,19.47460455256663,40.05410114047267,21.592747826729344,40.06359686001169,
7s,18.474604552566564,39.05410114047268,20.592747826729365,39.06359686001167,
8s,17.488058390123424,38.054101140472746,19.603091289456014,38.06359686001173,
9s,16.553283850812235,37.05410114047275,18.6628082350571,37.063596860011735,
10s,15.743374469655627,36.054101140472795,17.82819293888517,36.0635968600118,
11s,15.085542210786212,35.05410114047282,17.139746147750177,35.06359686001185,
12s,14.556911611176087,34.05410114047281,16.63691488381466,34.06359686001184,
13s,14.107106212345684,33.0541011404728,16.260014228341188,33.063596860011806,
14s,13.787733435217676,32.054101140472824,15.902433680322376,32.063596860011835,
15s,13.621908973619236,31.054101140472806,15.580276415043665,31.063596860011796,
16s,13.575215070565305,30.0541011404728,15.33380873203494,30.06359686001179,
17s,13.5694636548408,29.069128313927212,15.151793962390876,29.078752779350186,
18s,13.581878933333325,28.11741293376964,14.989102358629959,28.127142812864516,
19s,13.617310903183876,27.19899255775149,14.853960067159171,27.208852310817914,
20s,13.67772990253411,26.313747557885,14.74783817595702,26.32375476160732,
21s,13.76037654269004,25.46179950687687,14.669526193418408,25.471905907142368,
22s,13.863960015594534,24.643271891440875,14.61662422296844,24.653304349110467,
23s,13.99115058089669,23.85803321978911,14.590506886501002,23.867978505789104,
24s,14.141801920207921,23.106096066631135,14.593434124916055,23.115842105221066,
25s,14.314516656530213,22.387476644812455,14.62400032773675,22.3969535081782,
26s,14.508225866146848,21.702283016023557,14.679787183344539,21.711320641283205,
27s,14.72560219467185,21.05037096902128,14.762429623908679,21.058983728677735,
28s,14.966401161273554,20.431764510215043,14.87253215849564,20.439951037006175,
29s,15.229183865886949,19.846472116303964,15.009615083948953,19.854257494946193,
30s,15.51302564782326,19.294612282948382,15.172919627938187,19.3018866916382,
31s,15.820587740610769,18.776026860595596,15.36154988179986,18.782864251674948,
32s,16.1515382445744,18.290750069034658,15.57694021087978,18.297191325035573,
33s,16.50437817076023,17.838785921351384,15.819808600402943,17.844825712672364,
34s,16.878360128914892,17.420259495927446,16.089766146406987,17.425794410224785,
35s,17.276107513970107,17.03500081973569,16.386144847548692,17.04009274747315,
36s,17.697210314230023,16.68305272386174,16.707931388851584,16.68772481884564,
37s,18.140097699805093,16.364418559887895,17.05603110409673,16.368725034967945,
38s,18.604229425860993,16.079224610361926,17.431654173270672,16.083026861448598,
39s,19.092162020013053,15.827292627453662,17.83444696306249,15.830661587235921,
40s,19.603408855620522,15.608673878889112,18.263859630624584,15.611626646662867,
41s,20.136344324366505,15.423369531980315,18.71883827400939,15.425920798062078,
42s,20.69063249486686,15.271507904259662,19.19969650906646,15.273586062985652,
43s,21.268746786224813,15.15290307397524,19.708063153794466,15.154556106724689,
44s,21.87013449252762,15.067613413139357,20.24367653324377,15.068856424759955,
45s,22.493118044444408,15.015638853919146,20.806066433848223,15.016488335477511,
46s,23.13756659129305,14.997110125383957,21.39422333243786,14.997447522579687,
47s,23.805860096166352,15.011833108692825,22.007942873069148,15.011773070386896,
48s,24.497387306042924,15.059872426091731,22.64903230758895,15.059413926990374,
49s,25.210418860039052,15.141227561089744,23.3174626675621,15.140377475566025,
50s,25.945034805977933,15.256030434637562,24.012768139691058,15.254678206064774,
51s,26.703508696036415,15.404080928161397,24.73408656413698,15.402302256453204,
52s,27.485175586224795,15.58544900854597,25.4807780940228,15.583284430841333,
53s,28.288246771150042,15.800136232741437,26.254574128945624,15.797599118001925,
54s,29.113037183625742,16.048268827747417,27.05579296977841,16.045227251858762,
55s,29.961692722027333,16.329646486980963,27.883994095366056,16.32619486866604,
56s,30.833493425861015,16.644343497796786,28.738428592343908,16.64048495210096,
57s,31.726601777777816,16.992364878488463,29.618188409670932,16.98812297946707,
58s,32.641576325406085,17.373824610896015,30.52469109872398,17.36911137983463,
59s,33.580411102274155,17.78852955601551,31.458674501007422,17.783406718102103,
60s,34.54233836101375,18.236556320603587,32.41975093351245,18.231036402105087,
61s,35.52548387992198,18.71791348871682,33.4072562296844,18.71199570468635,
62s,36.52539544743346,19.23275762571775,34.40725217327068,19.2263919863671,
63s,37.525395447433375,19.78099837882234,35.40725217327066,19.77420252851057,
64s,38.52539544743339,20.362621425958075,36.407252173270635,20.355427154690492,
65s,39.52539544743335,20.977626767125074,37.407252173270656,20.97006586490683,
66s,40.52539544743324,21.6260144023233,38.40725217327065,21.618118659159585,
67s,41.52539544743331,22.30778433155281,39.40725217327064,22.299585537448788,
68s,42.5253954474334,23.022936554813565,40.40725217327065,23.01446649977438,
69s,43.52539544743343,23.771471072105577,41.40725217327064,23.76276154613645,
70s,44.525395447433446,24.553387883428876,42.40725217327065,24.544470676534868,
71s,45.525395447433425,25.368686988783374,43.40725217327064,25.359593890969766,
72s,46.525395447433446,26.217368388169138,44.4072521732706,26.208131189441026,
73s,47.525395447433446,27.099432081586155,45.407252173270784,27.090082571948738,
74s,48.525395447433425,28.014878069034392,46.40725217327074,28.00544803849287,
75s,49.525395447433475,28.96370635051389,47.40725217327069,28.954227589073433,
76s,50.52539544743342,29.945916926024612,48.407252173270635,29.936421223690417,
77s,51.525395447433375,30.945898859527084,49.40725217327072,30.936403139988123,
78s,52.525395447433375,31.945898859527084,50.407252173270756,31.936403139988112,
79s,53.52539544743342,32.945898859527105,51.407252173270685,32.93640313998813,
80s,54.52539544743342,33.9458988595271,52.407252173270656,33.93640313998814,
