,Sack_TCP_Droptail,Sack_CBR_Droptail,Sack_TCP_RED,Sack_CBR_RED,
1s,0.0,0.0,0.0,0.0,
2s,0.0,0.0,0.0,0.0,
3s,0.0,0.0,0.0,0.0,
4s,0.0,0.0,0.0,0.0,
5s,0.0,0.0,0.0,0.0,
6s,0.0,0.0,0.0,0.0,
7s,1.49200439453125,0.0,0.96038818359375,0.0,
8s,5.950927734375,0.0,3.9593505859375,0.0,
9s,8.6724853515625,0.0,5.99853515625,0.0,
10s,9.537353515625,0.0,7.918701171875,0.0,
11s,4.6575927734375,0.0,9.410400390625,0.0,
12s,6.95068359375,0.0,1.6583251953125,0.0,
13s,8.8946533203125,0.0,0.9759521484375,0.0,
14s,9.537353515625,0.0,2.681884765625,0.0,
15s,4.2608642578125,0.0,4.4989013671875,0.0,
16s,1.36474609375,7.2479248046875,0.841064453125,7.25555419921875,
17s,1.396484375,7.537841796875,1.5948486328125,7.54547119140625,
18s,1.190185546875,7.659912109375,1.0870361328125,7.659912109375,
19s,1.2933349609375,7.6141357421875,1.0870361328125,7.598876953125,
20s,1.6583251953125,7.62176513671875,1.3726806640625,7.57598876953125,
21s,1.4202880859375,7.54547119140625,1.68212890625,7.5225830078125,
22s,1.1346435546875,7.6751708984375,0.999755859375,7.6446533203125,
23s,1.3092041015625,7.60650634765625,1.126708984375,7.57598876953125,
24s,1.6583251953125,7.6446533203125,1.3568115234375,7.6141357421875,
25s,1.396484375,7.54547119140625,1.634521484375,7.53021240234375,
26s,1.142578125,7.66754150390625,0.9600830078125,7.66754150390625,
27s,1.317138671875,7.59124755859375,1.1505126953125,7.59124755859375,
28s,1.666259765625,7.66754150390625,1.190185546875,7.63702392578125,
29s,1.36474609375,7.54547119140625,1.4678955078125,7.60650634765625,
30s,1.142578125,7.6751708984375,1.4520263671875,7.56072998046875,
31s,1.26953125,7.63702392578125,1.0552978515625,7.65228271484375,
32s,1.74560546875,7.6141357421875,1.11083984375,7.6141357421875,
33s,1.317138671875,7.568359375,1.2139892578125,7.6141357421875,
34s,1.1505126953125,7.659912109375,1.3885498046875,7.6141357421875,
35s,1.3092041015625,7.62939453125,1.5472412109375,7.56072998046875,
36s,1.74560546875,7.6141357421875,1.063232421875,7.6446533203125,
37s,1.285400390625,7.57598876953125,1.0870361328125,7.62939453125,
38s,1.1505126953125,7.66754150390625,1.221923828125,7.568359375,
39s,1.3409423828125,7.6141357421875,1.317138671875,7.65228271484375,
40s,1.74560546875,7.6141357421875,1.5313720703125,7.60650634765625,
41s,1.26953125,7.56072998046875,1.1663818359375,7.5836181640625,
42s,1.1663818359375,7.659912109375,1.0711669921875,7.6446533203125,
43s,1.3409423828125,7.62939453125,1.158447265625,7.60650634765625,
44s,1.74560546875,7.62176513671875,1.317138671875,7.6141357421875,
45s,1.23779296875,7.568359375,1.507568359375,7.60650634765625,
46s,1.17431640625,7.6446533203125,1.26953125,7.57598876953125,
47s,1.3568115234375,7.62176513671875,1.0711669921875,7.63702392578125,
48s,1.7535400390625,7.60650634765625,1.126708984375,7.62939453125,
49s,1.2139892578125,7.598876953125,1.2774658203125,7.5836181640625,
50s,1.158447265625,7.659912109375,1.475830078125,7.62939453125,
51s,1.3568115234375,7.62939453125,1.3568115234375,7.57598876953125,
52s,1.793212890625,7.56072998046875,1.0711669921875,7.63702392578125,
53s,1.17431640625,7.62939453125,1.142578125,7.598876953125,
54s,1.1663818359375,7.659912109375,1.190185546875,7.63702392578125,
55s,1.3885498046875,7.62176513671875,1.4678955078125,7.60650634765625,
56s,1.793212890625,7.53021240234375,1.4599609375,7.56072998046875,
57s,1.1346435546875,7.6751708984375,1.0552978515625,7.65228271484375,
58s,1.190185546875,7.6446533203125,1.11083984375,7.6141357421875,
59s,1.4044189453125,7.62176513671875,1.2060546875,7.6141357421875,
60s,1.793212890625,7.50732421875,1.3885498046875,7.6141357421875,
61s,0.0238037109375,7.7362060546875,0.015869140625,7.62939453125,
62s,0.0,7.62939453125,0.0,7.62939453125,
63s,0.0,7.62939453125,0.0,7.62939453125,
64s,0.0,7.62939453125,0.0,7.62939453125,
65s,0.0,7.62939453125,0.0,7.62939453125,
66s,0.0,7.62939453125,0.0,7.62939453125,
67s,0.0,7.62939453125,0.0,7.62939453125,
68s,0.0,7.62939453125,0.0,7.62939453125,
69s,0.0,7.62939453125,0.0,7.62939453125,
70s,0.0,7.62939453125,0.0,7.62939453125,
71s,0.0,7.62939453125,0.0,7.62939453125,
72s,0.0,7.62939453125,0.0,7.62939453125,
73s,0.0,7.62939453125,0.0,7.62939453125,
74s,0.0,7.62939453125,0.0,7.62939453125,
75s,0.0,7.62939453125,0.0,7.62939453125,
76s,0.0,0.25177001953125,0.0,0.25177001953125,
77s,0.0,0.0,0.0,0.0,
78s,0.0,0.0,0.0,0.0,
79s,0.0,0.0,0.0,0.0,
80s,0.0,0.0,0.0,0.0,
